capability_id,capability_area,capability,white_dune_status,white_dune_evidence,wrlforge_status,wrlforge_evidence,standards_relevance,recommended_action,priority,licensing_risk,notes
DC-06,document-core,Incremental reparse,not_found,no evidence in source layout,not_found,src/editor/language.js analyze() re-parses the FULL text on every call,n/a,measure first; full reparse may be adequate,P2,none,Do not assume this is needed - 7C already debounces at 700ms (src/preview/preview-scheduler.js)
DC-07,document-core,Transactional edit / grouped undo,confirmed,"README.txt changelog: ""Added multiple undo/redo""",partial,"CodeMirror 6 history() in src/editor/browser/editor-view.js (text-level undo only, renderer-side); no semantic transactions",n/a,BUILD semantic transaction layer in WD1,P0,none,Text undo exists and works; it just has no notion of a scene-graph operation
DC-08,document-core,External-file-change detection,not_found,no evidence,confirmed,src/editor/file-io.js detectExternalChange uses size+mtime+SHA1 content hash; safeSave refuses on EEXTERNAL,n/a,reuse verbatim,P0,none,stronger than a bare mtime check; hash is the tiebreaker
DC-09,document-core,Atomic verified save with backup,not_found,no evidence,confirmed,src/editor/file-io.js safeSave: temp sibling -> fsync -> decode-verify -> timestamped backup -> atomic rename,n/a,reuse verbatim,P0,none,WD1 must not weaken this path
SG-01,scene-graph,Scene graph tree view,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/SceneTreeView.h, SceneGraphView.h",partial,"src/editor/language.js buildOutline() produces a nested outline (node/DEF/PROTO/ROUTE) with source ranges, max depth 6",n/a,WD2: promote outline to a selectable tree,P0,none,outline already exists and is span-anchored
SG-02,scene-graph,Selection synchronised with source,probable,White Dune has a text editor integration (TexteditSettingsDialog) but sync fidelity unevidenced,not_found,outline entries carry from/to offsets but nothing maps a cursor back to a tree node,n/a,WD2,P0,none,the span data needed for this already exists
SG-03,scene-graph,Node creation / insertion,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/NodeList.cpp + 56 *Dialog.h incl. ProtoDialog, ScriptDialog",not_found,none,ISO clause 6,WD5,P1,medium,needs the WD1 writer first
SG-04,scene-graph,Tree restructuring (reparent/reorder),probable,implied by a scene tree editor; specific commands not enumerated in dune.1,not_found,none,ISO clause 4.6,WD5,P2,medium,"White Dune evidence is a tree-editor inference, not an enumerated command list; verify before relying on it"
SG-05,scene-graph,DEF/USE identity handling,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/DefDialog.h; NODE_FLAG_DEFED in src/NodeFlags.h",partial,src/vrml/analyze.js builds defs/defsByName/uses and flags duplicate/unresolved - but FLAT scope only,ISO 14772-1 clause 4.6.2,WD1 must add PROTO-aware scoping,P0,none,CLAUDE.md already marks these diagnostics NON-authoritative; WD1 builds the scope model but owner decision 2026-08-06 keeps VRML040-044 ADVISORY pending a separate corpus review
FI-01,field-inspector,Typed per-field editing UI,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/FieldView.h + OneFloatDialog/OneVec3fDialog/OneBoolDialog/OneIntDialog/OneTextDialog/ArrayDialog",not_found,no field inspector; no node/field schema in WRLForge (grep found no SFVec3f-style table),ISO clause 5 + 6,WD3,P0,none,56 dialogs in White Dune 1.930 are mostly per-field-type editors; WRL Forge needs ~6 generic ones driven by the schema
FI-02,field-inspector,Machine-readable node/field/type metadata,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/338 Node*.cpp each declaring its fields (GPL)",confirmed-external,"node_modules/x_ite/dist/x_ite.d.ts declares 54/54 VRML97 nodes as *Proxy interfaces, 472 fields extracted with name+type+accessType",ISO clause 6,USE x_ite.d.ts (MIT) + the local ISO spec; do NOT read White Dune node tables,P0,none-if-x_ite,DECISIVE: removes any need to touch GPL source for node metadata
FI-03,field-inspector,Normative VRML97 field set (strict mode filter),confirmed,NODE_FLAG_X3D_ONLY / NODE_FLAG_VRML_ONLY in src/NodeFlags.h,confirmed-external,ISO spec mirror /home/ryan/Projects/cybertown/wb-ct-scrape/specs/iso-14772-vrml97 yields 314 normative declarations across 54/54 nodes,ISO/IEC 14772-1 clause 6 (normative),derive strict-VRML97 allow-list from the ISO mirror,P0,none,x_ite.d.ts exposes 206 X3D-only fields across those same 54 nodes - the exact leak surface
FI-04,field-inspector,Field value range/constraint validation,confirmed,ISO spec states ranges; White Dune dialogs constrain input,not_found,no field-level validation anywhere,ISO clause 6,WD3 (ranges are in the local ISO mirror),P1,none,ISO clause 6 states value ranges inline; the local mirror makes them extractable
GM-01,geometry,NURBS / Superformula / Subdivision modelling,confirmed,deb control Description; dune.1; Box2NurbsDialog/Sphere2NurbsDialog/NurbsSurfaceDialog etc.,not_found,none,"NURBS is VRML97 Amendment 1, NOT base VRML97",REJECT for Cybertown scope,P4,high,UNSUITABLE: Amendment-1 NURBS will not load in period Cybertown/Blaxxun browsers. Owner-approved 2026-08-06: no general mesh-modelling system
GM-02,geometry,"Mesh editing (split faces, quad inset, triangulate)",confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/SplitFacesDialog.h, QuadInsetDialog.h, ToIndexedFaceSetDialog.h",not_found,none,ISO 6.23 IndexedFaceSet,reduce scope: focused IndexedFaceSet editing only (owner-approved 2026-08-06),P2,medium,"OWNER DECISION 2026-08-06: no general mesh-modelling system, but focused IndexedFaceSet editing IS retained alongside primitives/Transform/Material/textures/Extrusion. White Dune README.txt concedes its mesh features ""can not compare"" to dedicated modellers"
GM-03,geometry,Primitive creation (Box/Cone/Cylinder/Sphere/Text),confirmed,NodeBox.cpp etc. + node insertion UI,not_found,none,ISO 6.7/6.11/6.14/6.43/6.47,WD6,P1,low,"primitive creation is the cheapest first authoring verb: no geometry math, one node insertion"
GM-04,geometry,Interactive transform handles/gizmos,confirmed,"README.txt changelog ""Added autoscaling of Transform handles""",not_found,X_ITE preview is display-only; no picking or manipulation,ISO 6.52 Transform,WD4,P0,low,the headline visual-authoring capability
GM-05,geometry,Bounding-box / fit computation,probable,implied by handle autoscaling,confirmed,src/preview/bbox-traversal.js + extrusion-bounds.js + fit-math.js (Mall profile fit/guides),n/a,reuse for gizmo placement in WD4,P1,none,"already handles Extrusion bounds, a genuinely hard case"
MT-01,materials,Material / Appearance editing,confirmed,NodeMaterial.cpp + FieldView dialogs,not_found,none,ISO 6.27 Material,WD6,P1,none,Material has 17 X3D-only fields in x_ite.d.ts - must filter
MT-02,materials,Texture assignment + image handling,confirmed,"deb Depends: gimp, gpaint, imagemagick (external image editors)",partial,src/world-project/image-size.js reads dimensions; src/preview/texture-base.js resolves texture base; no assignment UI,ISO 6.22/6.33,WD6,P1,none,no additional notes
RT-01,routes,ROUTE parsing + endpoint resolution,confirmed,NodeLabView.h; RouteViewSettingsDialog.h,partial,src/vrml/parser.js parseRoute/parseRouteEndpoint; analyze.js resolves against DEF table and flags dangling/duplicate - FLAT scope,ISO clause 4.10.2,"WD1 scoping, then WD7",P1,none,"flat scope is the blocker, not the parsing; parseRoute itself is correct. Scope model built in WD1.5 but diagnostics stay advisory (owner decision 2026-08-06)"
RT-02,routes,Visual ROUTE graph editor,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/NodeLabView.h",not_found,none,ISO 4.10.2,WD7,P2,low,"the ""node lab"" is White Dunes ROUTE canvas - a UI concept worth retaining"
RT-03,routes,eventIn/eventOut type metadata for legal ROUTEs,confirmed,White Dune validates ROUTE endpoint types,confirmed-external,x_ite.d.ts encodes accessType (inputOnly/outputOnly/inputOutput/initializeOnly) per field,ISO 4.10.2 (types must match),WD7 using x_ite.d.ts,P2,none,no additional notes
AN-01,animation,Animation timeline / channel editing,confirmed,"white_dune 1.930 source, ~/Projects/white-dune-archive/white_dune-1.930-source-evidence/src/ChannelView.h, AnimationDialog.h, CurveAnimationDialog.h, TimeShiftDialog.h",not_found,none,ISO 6.50 TimeSensor + interpolators,WD7,P2,low,no additional notes
AN-02,animation,Interpolator authoring,confirmed,Node*Interpolator.cpp x6,not_found,none,ISO 6.10/6.13/6.31/6.32/6.37/6.39,WD7,P2,low,all six interpolators parse today; authoring them needs the schema plus a keyframe UI
AN-03,animation,Keyframe recording from viewport,probable,implied by CurveAnimationDialog,not_found,none,n/a,defer,P3,low,keyframe capture depends on WD4 viewport interaction landing first
PR-01,proto,PROTO/EXTERNPROTO parsing,confirmed,Proto.cpp/Proto.h/ProtoMap.h/SceneProtoMap.cpp,partial,src/vrml/parser.js parseProto/parseExternProto/parseInterfaceList/parseInterfaceDecl incl. IS-mapping,ISO clause 4.8,WD1 scoping then WD8,P1,none,parses correctly; scope model is the gap
PR-02,proto,PROTO interface editing UI,confirmed,"ProtoDialog.h, ProtoNameDialog.h",not_found,none,ISO 4.8,WD8,P3,low,"lowest-value GUI surface for the Cybertown corpus; most worlds use EXTERNPROTO, not authored PROTOs"
PR-03,proto,IS mapping resolution,confirmed,Proto.h,partial,parser records IS bindings (ast.isBinding); analyze.js does NOT resolve them context-sensitively,ISO 4.8.3,WD1,P1,none,CLAUDE.md flags this as a known non-authoritative area
SC-01,scripting,Script node + inline vrmlscript/javascript,confirmed,"ScriptDialog.h, ScriptEventDialog.h, EcmaScriptSettingsDialog.h",partial,tokenizer handles multiline quoted strings so inline script survives; url-fields.js classifies inline script as neither local nor remote; no editing UI,ISO 6.40 + clause 4.12,WD8+,P3,none,inline vrmlscript is common in Cybertown worlds; the tokenizer already keeps it intact across newlines
EX-01,export,C / C++ / Java source export,confirmed,dune.1 -c/-3c/-c++/-3c++; docs/export_example_c*,not_found,none,n/a,REJECT,P4,high,UNSUITABLE for WRLForge product scope
EX-02,export,RIB / AC3D / CATT / LDraw / kanim export,confirmed,dune.1 -rib/-ac3d/-catt8geo/-ldraw/-kanim,not_found,none,n/a,REJECT,P4,medium,niche 2000s-era interop targets
EX-03,export,X3DOM HTML export,confirmed,dune.1 -X3DOM,not_found,none,n/a,REJECT,P4,low,X_ITE already covers in-app preview
EX-04,export,Cybertown World Project bundle (ZIP),not_found,n/a,confirmed,src/world-project/package-plan.js + zip-writer.js + bundle-builder.js; IPC world:buildReviewBundle,n/a,keep; WRLForge-specific,P0,none,no White Dune equivalent - this is product-differentiating
PV-01,preview,Embedded 3D viewport,confirmed,Scene3DView.h; OpenGL (deb Depends freeglut3-dev),confirmed,"X_ITE 15.1.10 embedded: renderer/preview.js (Mall), renderer/world-preview.js (World); docs/PREVIEW_ARCHITECTURE.md",n/a,reuse; add picking in WD4,P0,none,X_ITE is the ONLY approved renderer per CLAUDE.md
PV-02,preview,Live preview of the UNSAVED buffer,not_found,White Dune previews its own in-memory scene but via external browsers for VRML preview (PreviewSettingsDialog),confirmed,Phase 7C: src/preview/buffer-overlay.js (byte-substitution only) + mall-preview-bridge.js + world-preview-bridge.js; no temp file,n/a,reuse verbatim as the WD4 sync channel,P0,none,WRLForge is AHEAD here; the overlay is exactly the mechanism a GUI edit needs
PV-03,preview,Viewpoint preservation across reload,not_found,no evidence,confirmed,"src/preview/viewpoint-preserve.js (DEF -> description -> index -> first -> default, + nav-mode restore)",n/a,essential for WD4 - a gizmo drag must not reset the camera,P0,none,no additional notes
PV-04,preview,External VRML browser preview,confirmed,"dune.1 PreviewSettingsDialog; deb Suggests: freewrl, view3dscene",not_found,none (deliberate),n/a,REJECT,P4,none,OBSOLETE: embedded X_ITE supersedes it
VL-01,validation,Syntax diagnostics,confirmed,dune.1 DIAGNOSTICS section,confirmed,src/vrml/diagnostics.js + parser recovery; surfaced authoritatively in editor (src/editor/language.js),ISO grammar,keep,P0,none,no additional notes
VL-02,validation,Cybertown Mall Item profile rules,not_found,n/a,confirmed,"validator.js: header, WorldInfo, 80KB gzip cap, forbidden nodes, no external URLs, <=1 ImageTexture, DEF/USE integrity",Cybertown-specific,"keep; REGEX-based, not parser-based",P1,none,"GAP: validator.js is regex-driven and does not use src/vrml - a future consolidation, NOT part of WD1"
VL-03,validation,World Project asset-graph scanning,not_found,n/a,confirmed,"src/world-project/asset-graph.js + url-fields.js + path-policy.js; cycle-safe, case-mismatch aware, bounded",n/a,keep,P0,none,no additional notes
PF-01,platform,Linux + Windows desktop,confirmed,"desktop/{debian,kde,xfce,...}; README_MSwindows.txt",confirmed,Electron; docs/BUILD.md; v1.3.0-beta.3; AppImage/tar.gz/NSIS/MSI/portable/zip,n/a,keep,P0,none,no additional notes
PF-02,platform,Localised UI (de/it/fr/pt),confirmed,dune.1 -german/-italian/-french/-portuguese,not_found,English only,n/a,defer,P4,none,"localisation is a product decision, not an architecture one; defer until the GUI surface stabilises"
PF-03,platform,Simplified beginner mode,confirmed,dune.1 -4kids; dune4kids.desktop; dune4kids.1,not_found,none,n/a,consider post-WD9,P3,low,UI concept worth retaining: a reduced-surface mode for newcomers
AC-01,accessibility,Zoom / high-contrast / keyboard workflows,not_found,no accessibility material found in docs/ or man/,confirmed,Feature A: persisted zoom (Ctrl +/-/0) via font compartment + --wrl-ui-scale; 5 themes incl. High Contrast; src/editor/ui-state.js resolveZoom/zoomStep/zoomModel,n/a,extend to new GUI surfaces,P1,none,WRLForge is ahead; every WD panel must honour --wrl-ui-scale
AC-02,accessibility,3D input devices / stereo view,confirmed,"dune.1 INPUTDEVICEOPTIONS, STEREOVIEWOPTIONS, AFLOCKOPTIONS",not_found,none,n/a,REJECT,P4,none,OBSOLETE: spaceball/shutterglasses/aflock are 2000s-era hardware
SE-01,security,Desktop process/security boundary,not_found,monolithic X11 binary,confirmed,"main owns every path; renderer sends {sessionId,text} never a path; src/editor/path-authorizer.js; wrlworld:// confined scheme; CSP in renderer/editor.html",n/a,WD GUI must NOT weaken this,P0,none,"a GUI edit must still travel as text+intent, never as a path"
SE-02,security,Network download of assets,confirmed,dune.1 -download (curl); UploadSettingsDialog.h,not_found,deliberately absent; src/preview/url-policy.js blocks remote,n/a,REJECT,P4,none,direct upload is a LOCKED product decision - not a missing feature
