node,component_area,parser_support,serializer_support,syntax_highlighting,diagnostics,xite_preview,gui_metadata,scene_tree_ready,inspector_ready,creation_ready,route_event_metadata,white_dune_evidence,tests,iso_field_count,xite_extra_x3d_fields,notes
SpotLight,lighting,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeSpotLight.cpp (white_dune 1.930),no-fixture,10,4,"4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: global, metadata, shadowIntensity, shadows"
Switch,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeSwitch.cpp (white_dune 1.930),no-fixture,2,8,"named in src/preview/bbox-traversal.js fit math; 8 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: addChildren, bboxCenter, bboxDisplay, bboxSize, children, metadata..."
Text,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeText.cpp (white_dune 1.930),no-fixture,4,2,"named in src/preview/bbox-traversal.js fit math; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, solid"
TextureCoordinate,geometric-property,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeTextureCoordinate.cpp (white_dune 1.930),no-fixture,1,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: mapping, metadata"
TextureTransform,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeTextureTransform.cpp (white_dune 1.930),no-fixture,4,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: mapping, metadata"
TimeSensor,time,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeTimeSensor.cpp (white_dune 1.930),fixture-present,9,4,"4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata, pauseTime, resumeTime"
TouchSensor,sensor-pointing,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeTouchSensor.cpp (white_dune 1.930),no-fixture,7,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata"
Transform,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeTransform.cpp (white_dune 1.930),fixture-present,10,3,"named in src/preview/bbox-traversal.js fit math; 3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: bboxDisplay, metadata, visible"
Viewpoint,bindable,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeViewpoint.cpp (white_dune 1.930),fixture-present,8,7,"7 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: centerOfRotation, farDistance, metadata, navigationInfo, nearDistance, retainUserOffsets..."
VisibilitySensor,sensor-environment,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeVisibilitySensor.cpp (white_dune 1.930),no-fixture,6,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata"
WorldInfo,metadata,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeWorldInfo.cpp (white_dune 1.930),fixture-present,2,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
